ID,索引,表名,最后更新,列族代码,生成的编号,说明
119,JH_ITEMS_IN,JHPDL:JH_ITEMS_IN,2024-01-17,MDC,IA0.000.000.001,耗材入库明细
120,JH_ITEMS_OUT,JHPDL:JH_ITEMS_OUT,2024-01-17,MDD,IB0.000.000.001,耗材出库明细
121,JH_ITEMS_DTL,JHPDL:JH_ITEMS_DTL,2024-01-17,MDE,IC0.000.000.001,耗材消耗明细
122,JH_OP_APPLY_SUB,JHPDL:JH_OP_APPLY_SUB,2024-01-17,OAB,PH0.000.000.001,手术申请附表
123,JH_BLD_APPLY_SUB,JHPDL:JH_BLD_APPLY_SUB,2024-01-17,BLG,BG0.000.000.001,输血申请附表
124,JH_HEMODIALYSIS_APY,JHPDL:JH_HEMODIALYSIS_APY,2024-01-17,HMA,HA0.000.000.001,血透申请单
125,JH_HEMODIALYSIS_ORD,JHPDL:JH_HEMODIALYSIS_ORD,2024-01-17,HMB,HB0.000.000.001,血透医嘱
126,JH_HEMODIALYSIS_REC,JHPDL:JH_HEMODIALYSIS_REC,2024-01-17,HMC,HC0.000.000.001,血透记录
127,JH_CLOSE_CYC,JHPDL:JH_CLOSE_CYC,2024-04-10,CYC,CY0.000.000.001,闭环数据规范
128,JH_HEMODIALYSIS_MOR,JHPDL:JH_HEMODIALYSIS_MOR,2024-01-17,HMD,HD0.000.000.001,血透治疗监测记录
129,JH_PATH_TISS_PROC,JHPDL:JH_PATH_TISS_PROC,2024-01-17,HAA,AA0.000.000.001,病理组织处理流程
130,JH_FEE_PAY_NEW,JHPDL:JH_FEE_PAY_NEW,2024-01-17,PFI,AB0.000.000.001,费用结算记录新
131,JH_FEE_PAY_DTL_NEW,JHPDL:JH_FEE_PAY_DTL_NEW,2024-05-30,PFJ,AC0.000.000.001,费用明细清单新
132,JH_FOLLOW_UP_PLAN,JHPDL:JH_FOLLOW_UP_PLAN,2024-01-17,PAA,AD0.000.000.001,随访计划
133,JH_FOLLOW_UP_RPT,JHPDL:JH_FOLLOW_UP_RPT,2024-01-17,PAB,AE0.000.000.001,随访报告
134,JH_RIS_APY,JHPDL:JH_RIS_APY,2024-01-17,RAA,RA0.000.000.001,放疗申请单
135,JH_RIS_REC,JHPDL:JH_RIS_REC,2024-01-17,RAB,RB0.000.000.001,放疗记录
136,JH_RIS_REC_DETAIL,JHPDL:JH_RIS_REC_DETAIL,2024-01-17,RAC,RC0.000.000.001,放疗记录明细
137,JH_TREAT_APY,JHPDL:JH_TREAT_APY,2024-01-17,RAD,RD0.000.000.001,高压氧/康复治疗申请
138,JH_TREAT_REC,JHPDL:JH_TREAT_REC,2024-01-17,RAE,RE0.000.000.001,高压氧/康复治疗主记录
139,JH_TREAT_REC_COMENT,JHPDL:JH_TREAT_REC_COMENT,2024-01-17,RAF,RF0.000.000.001,高压氧/康复治疗文书内容
140,JH_TREAT_REC_DETAIL,JHPDL:JH_TREAT_REC_DETAIL,2024-01-17,RAG,RG0.000.000.001,高压氧/康复治疗记录(结构化)
141,JH_NURSE_SCHEDULE,JHPDL:JH_NURSE_SCHEDULE,2024-01-17,NAA,NA0.000.000.001,护理排班规范
142,JH_HOSP_INCOME,JHPDL:JH_HOSP_INCOME,2024-01-17,FAA,FB0.000.000.001,医院收入费用总表
143,JH_HOSP_INCOME_DTL,JHPDL:JH_HOSP_INCOME_DTL,2024-01-17,FAB,FE0.000.000.001,医院收入费用总表
144,JH_NURSE_DTL,JHPDL:JH_NURSE_DTL,2024-01-17,NAB,NB0.000.000.001,患者护理明细规范
145,JH_OUT_PHA_QUA_DTL,JHPDL:JH_OUT_PHA_QUA_DTL,2024-01-17,MAA,MA0.000.000.001,三级绩效：门诊药事专业医疗质量控制明细表
146,JH_R_IN_PHA_QUA,JHPDL:JH_R_IN_PHA_QUA,2023-09-05,MAB,MB0.000.000.001,三级绩效：出院患者药事统计表
147,JH_R_BID_QUA,JHPDL:JH_R_BID_QUA,2023-09-05,MAC,MC0.000.000.001,三级绩效：临床用血专业医疗质量控制汇总表
148,JH_IN_HOSP_SUB,JHPDL:JH_IN_HOSP_SUB,2024-01-17,SUA,SA0.000.000.001,患者住院就诊记录（附）表
149,JH_R_KIDNEY,JHPDL:JH_R_KIDNEY,2024-01-17,ME,ME0.000.000.001,肾病专业统计表
150,JH_R_LAB_QUALITY,JHPDL:JH_R_LAB_QUALITY,2024-01-17,MAH,MH0.000.000.001,临床检验专业医疗质量控制汇总表
151,JH_R_ULTRA_DIAG,JHPDL:JH_R_ULTRA_DIAG,2024-01-17,MAJ,MJ0.000.000.001,超声诊断专业设备统计表
152,JH_LAB_APPLY_SUB,JHPDL:JH_LAB_APPLY_SUB,2024-01-17,SUB,SB0.000.000.001,检验申请单附表
153,JH_PRE_FP_ICU,JHPDL:JH_PRE_FP_ICU,2024-01-17,MAK,MK0.000.000.001,首页重症监护记录（编目前）
154,JH_R_BAN_COLLECT,JHPDL:JH_R_BAN_COLLECT,2024-01-17,MAN, MN0.000.000.001,病案专业医疗质量控制统计表
155,JH_R_NUTRITION,JHPDL:JH_R_NUTRITION,2024-01-17,MAP,MP0.000.000.001,临床营养专业统计表规范
156,JH_R_HR,JHPDL:JH_R_HR,2024-01-17,MAQ,MQ0.000.000.001,人事主题统计表规范
157,JH_OP_PRE_INQUIRY,JHPDL:JH_OP_PRE_INQUIRY,2025-01-06,MAT,MT0.000.000.001,术前访视记录
158,JH_OP_CARE,JHPDL:JH_OP_CARE,2024-01-17,MAU,MU0.000.000.001,手术护理记录
159,JH_OP_PACU,JHPDL:JH_OP_PACU,2024-01-17,MAV,MV0.000.000.001,手术进出恢复室(PACU)记录
160,JH_OP_FIN_INQUIRY,JHPDL:JH_OP_FIN_INQUIRY,2024-01-17,MAW,MW0.000.000.001,术后访视记录
161,JH_OP_ANALGESIA,JHPDL:JH_OP_ANALGESIA,2024-01-17,MAX,MX0.000.000.001,术中术后镇痛记录
162,JH_OP_CONTENT_MASTER,JHPDL:JH_OP_CONTENT_MASTER,2024-01-17,MAY,MY0.000.000.001,手术过程交接记录主表
163,JH_OP_CONTENT_DETAIL,JHPDL:JH_OP_CONTENT_DETAIL,2024-01-17,MAZ,MZ0.000.000.001,手术过程交接记录内容
164,JH_IN_HOSP_SUB2,JHPDL:JH_IN_HOSP_SUB2,2024-01-17,SUC,SC0.000.000.001,住院就诊附表2
165,JH_OUT_HOSP_SUB,JHPDL:JH_OUT_HOSP_SUB,2024-01-17,SUD,SD0.000.000.001,门诊就诊附表
166,JH_R_A_CAVITARY_REPAIR,JHPDL:JH_R_A_CAVITARY_REPAIR,2024-01-17,SUE,SE0.000.000.001,主动脉腔内修复术统计表
167,JH_UL_MEASURE,JHPDL:JH_UL_MEASURE,2024-01-17,SUF,SF0.000.000.001,超声测量值
168,JH_IN_EVAL,JHPDL:JH_IN_EVAL,2024-01-17,SUG,SG0.000.000.001,患者住院评估单
169,JH_CLOSE_CYD,JHPDL:JH_CLOSE_CYD,2024-04-10,CYD,CD0.000.000.001,闭环数据规范
170,JH_CLOSE_CYE,JHPDL:JH_CLOSE_CYE,2024-04-10,CYE,CE0.000.000.001,闭环数据规范
171,JH_RHHV_PERSON_BASE,JHPDL:JH_RHHV_PERSON_BASE,2024-07-18,VAA,VAA.000.000.001,个人基本信息
172,JH_RHHV_PERSON_BASE_ADDRESS,JHPDL:JH_RHHV_PERSON_BASE_ADDRESS,2024-07-18,VAB,VAB.000.000.001,个人基本信息(地址)
173,JH_RHHV_PERSON_BASE_PHONE,JHPDL:JH_RHHV_PERSON_BASE_PHONE,2024-07-18,VAC,VAC.000.000.001,个人基本信息(联系电话)
174,JH_RHHV_PERSON_BASE_CARD,JHPDL:JH_RHHV_PERSON_BASE_CARD,2024-07-18,VAD,VAD.000.000.001,个人基本信息(证件)
175,JH_RHHV_PERSON_PAST_HISTORY,JHPDL:JH_RHHV_PERSON_PAST_HISTORY,2024-07-18,VAE,VAE.000.000.001,个人既往史
176,JH_RHHV_PERSON_ALLERGY_HISTORY,JHPDL:JH_RHHV_PERSON_ALLERGY_HISTORY,2024-07-18,VAF,VAF.000.000.001,个人过敏史
177,JH_RHHV_PERSON_FAMILY_HISTORY,JHPDL:JH_RHHV_PERSON_FAMILY_HISTORY,2024-07-18,VAG,VAG.000.000.001,个人家族史
178,JH_RHHV_PERSON_OPERATION_HISTORY,JHPDL:JH_RHHV_PERSON_OPERATION_HISTORY,2024-07-18,VAH,VAH.000.000.001,个人手术史
179,JH_RHHV_PERSON_DISABILITY,JHPDL:JH_RHHV_PERSON_DISABILITY,2024-07-18,VAI,VAI.000.000.001,个人疾病情况
180,JH_RHHV_PERSON_PROBLEM,JHPDL:JH_RHHV_PERSON_PROBLEM,2024-07-18,VAJ,VAJ.000.000.001,个人主要问题
181,JH_RHHV_LIFESTYLE,JHPDL:JH_RHHV_LIFESTYLE,2024-07-18,VAK,VAK.000.000.001,个人习惯
182,JH_RHHV_CHINA_DOCTOR_RECORD,JHPDL:JH_RHHV_CHINA_DOCTOR_RECORD,2024-07-18,VAL,VAL.000.000.001,中医体质辨识登记表
183,JH_RHHV_POSTNATAL_42DAY_RECORD,JHPDL:JH_RHHV_POSTNATAL_42DAY_RECORD,2024-07-18,VAM,VAM.000.000.001,产后42天健康检查记录表
184,JH_RHHV_POSTNATAL_VISIT_INFO,JHPDL:JH_RHHV_POSTNATAL_VISIT_INFO,2024-07-18,VAN,VAN.000.000.001,产后访视信息
185,JH_RHHV_INFECTION_CARD,JHPDL:JH_RHHV_INFECTION_CARD,2024-07-18,VAO,VAO.000.000.001,传染病报告
186,JH_RHHV_INFECTION_SCREEN,JHPDL:JH_RHHV_INFECTION_SCREEN,2024-07-18,VAP,VAP.000.000.001,传染病筛选
187,JH_RHHV_DEBILITY_GUIDE,JHPDL:JH_RHHV_DEBILITY_GUIDE,2024-07-18,VAQ,VAQ.000.000.001,体弱儿指导意见
188,JH_RHHV_CHILD_ARCHIVES,JHPDL:JH_RHHV_CHILD_ARCHIVES,2024-07-18,VAR,VAR.000.000.001,体弱儿童档案
189,JH_RHHV_CHILD_EXAM,JHPDL:JH_RHHV_CHILD_EXAM,2024-07-18,VAS,VAS.000.000.001,体弱儿童检查
190,JH_RHHV_CHILD_FOLLOW,JHPDL:JH_RHHV_CHILD_FOLLOW,2024-07-18,VAT,VAT.000.000.001,体弱儿童随访表
191,JH_RHHV_PHYSICAL_RESULT,JHPDL:JH_RHHV_PHYSICAL_RESULT,2024-07-18,VAU,VAU.000.000.001,体质结果表
192,JH_RHHV_HEALTH_ABILITY_CALC,JHPDL:JH_RHHV_HEALTH_ABILITY_CALC,2024-07-18,VAV,VAV.000.000.001,健康体检-能力计算
193,JH_RHHV_HEALTH_MAIN,JHPDL:JH_RHHV_HEALTH_MAIN,2024-07-18,VAW,VAW.000.000.001,健康体检表-主表
194,JH_RHHV_HEALTH_MAIN_MEDI,JHPDL:JH_RHHV_HEALTH_MAIN_MEDI,2024-07-18,VAX,VAX.000.000.001,健康体检表-主要用药情况
195,JH_RHHV_HEALTH_MAIN_TREAT,JHPDL:JH_RHHV_HEALTH_MAIN_TREAT,2024-07-18,VAY,VAY.000.000.001,健康体检表-住院治疗情况
196,JH_RHHV_HEALTH_CALC,JHPDL:JH_RHHV_HEALTH_CALC,2024-07-18,VAZ,VAZ.000.000.001,健康体检表-计算
197,JH_RHHV_HEALTH_VACC_HISTORY,JHPDL:JH_RHHV_HEALTH_VACC_HISTORY,2024-07-18,VBA,VBA.000.000.001,健康体检表-非免疫规划预防接种史
198,JH_RHHV_PERINATAL_ARCHIVES,JHPDL:JH_RHHV_PERINATAL_ARCHIVES,2024-07-18,VBB,VBB.000.000.001,围产档案
199,JH_RHHV_WOMEN_MIGRATION_RECORD,JHPDL:JH_RHHV_WOMEN_MIGRATION_RECORD,2024-07-18,VBC,VBC.000.000.001,妇保迁移记录表
200,JH_RHHV_WOMEN_BASE,JHPDL:JH_RHHV_WOMEN_BASE,2024-07-18,VBD,VBD.000.000.001,妇女基本信息
201,JH_RHHV_WOMEN_PRENATAL_SCREEN,JHPDL:JH_RHHV_WOMEN_PRENATAL_SCREEN,2024-07-18,VBE,VBE.000.000.001,孕妇产前筛查
202,JH_RHHV_WOMEN_QUOTA,JHPDL:JH_RHHV_WOMEN_QUOTA,2024-07-18,VBF,VBF.000.000.001,孕妇指标
